cee,9759185,9644,92,156
cef,9835528,10142,179,266
ceg,9894850,8893,320,693
cfa,9880197,8357,69,134
cfb,9898736,8344,89,253
cfc,9690069,8890,256,490
cfd,9876317,11363,43,80
cfe,9987859,7716,64,223
cff,9860123,9940,10,44
cfg,9860784,9073,574,1052
cga,9840500,9132,227,350
cgb,9888390,10304,157,327
cgc,9873884,9072,205,322
cgd,9845129,10677,68,113
cge,9936661,10798,50,131
cgf,9852731,8975,11,39
cgg,9874469,8590,94,245
daa,9897481,8670,292,418
dab,9285393,8987,306,474
dac,9774818,9845,386,700
dad,9858068,8871,146,250
dae,9754560,9731,140,273
daf,9964353,8955,71,176
dag,9920398,8625,6,12
dba,9595390,10519,40,78
dbb,9998165,8872,98,204
dbc,9343279,8696,113,169
dbd,9990347,8856,227,377
dbe,9837121,10103,25,39
dbf,9609638,9907,66,212
dbg,9485096,9120,239,400
dca,9844125,8718,81,174
dcb,9839253,8709,49,205
dcc,9922878,7599,221,376
dcd,9933568,8272,5,13
dce,9808563,7352,176,297
dcf,9769358,9229,107,190
dcg,9728971,8382,17,27
dda,9766498,7756,27,83
ddb,9887242,8592,142,266
ddc,9807281,8897,262,468
ddd,9833154,8089,482,690
dde,9938264,8434,80,118
ddf,9948462,9317,165,242
ddg,9883226,9783,16,72
dea,9974167,8167,118,184
deb,9826674,6505,69,138
dec,9626523,9510,5,7
ded,9924289,7737,171,298
dee,9842683,9111,76,170
def,9926796,9233,110,226
deg,9971734,9134,177,298
dfa,9709305,8800,377,507
dfb,9768394,8628,198,248
dfc,9548894,7644,11,24
dfd,9884082,8658,88,160
dfe,9981100,8116,194,318
dff,9989405,9841,11,23
dfg,9698917,9593,219,320
dga,9961778,8196,221,411
dgb,9948544,8491,20,38
dgc,9723786,7925,77,155
dgd,9901205,10224,8,28
dge,9534070,9176,126,247
dgf,9898620,9107,55,82
dgg,9879012,7818,23,46
eaa,9963805,7647,112,247
eab,9918318,9577,255,362
eac,9682507,9946,94,187
ead,9952537,9515,72,141
eae,9740598,9176,14,61
eaf,9920959,9424,51,146
eag,9609262,8246,13,45
eba,9930555,9660,62,299
ebb,9883480,8040,34,61
ebc,9983074,7974,9,34
ebd,9934153,7273,10,30
ebe,9801805,8164,171,286
ebf,9528083,9575,5,6
ebg,9962685,9979,140,290
eca,9688913,9169,135,287
ecb,9848147,6901,155,260
ecc,9977049,9011,110,266
ecd,9919364,8184,198,282
ece,9641507,9240,110,261
ecf,9800154,8791,260,481
ecg,9973522,7780,141,207
eda,9986407,8750,118,227
edb,9838733,8561,89,139
edc,9691616,8846,59,120
edd,9713709,9182,169,277
ede,9847934,7705,46,82
edf,9904222,8513,270,426
edg,9941462,7607,177,447
eea,9362942,7839,197,280
eeb,9987058,7631,18,58
eec,9871505,7352,63,138
eed,9999700,8226,84,178
eee,9896191,8214,279,445
eef,9963423,9181,121,259
eeg,9442268,9286,111,223
efa,9894306,7986,112,245
efb,9870451,8292,142,235
efc,9974558,10769,257,461
efd,9990035,9164,44,105
efe,9815876,8338,88,134
eff,9853364,10432,29,55
efg,9714533,7717,141,207
ega,9392612,9519,998,2122
egb,9718924,8119,78,138
egc,9676517,7807,70,178
egd,9952653,9608,12,39
ege,9807375,7654,6,23
egf,9842994,8499,82,176
egg,9840440,8780,280,434
faa,9893117,7983,101,153
fab,9916166,6590,13,39
fac,9952898,8994,5,8
fad,9978707,8898,154,259
fae,9997460,7806,228,371
faf,9882304,9487,75,113
fag,9940291,9087,93,202
fba,9807940,9536,177,335
fbb,9998561,9173,107,200
fbc,9919801,9118,188,307
fbd,9334124,7647,35,67
fbe,9738883,9417,5,6
fbf,9776859,7574,270,459
fbg,9964974,8419,647,1718
fca,9724582,10028,8,22
fcb,9785394,8452,105,239
fcc,9895732,8936,53,113
fcd,9907362,9383,6,22
fce,9698044,10032,38,101
fcf,9896287,7563,6,17
fcg,9842825,8931,875,2570
fda,9792437,9587,189,350
fdb,9984310,10324,112,438
fdc,9844363,7856,9,24
fdd,9934114,9968,105,215
fde,9928485,7574,329,674
fdf,9926891,9190,143,251
fdg,9171572,10925,176,353
fea,9650726,9607,6,14
feb,9983921,7363,119,297
fec,9910911,8851,11,28
fed,9783358,9382,21,39
fee,9922357,8151,25,58
fef,9937840,8928,147,234
feg,9652372,10112,81,165
ffa,9967106,8847,115,226
ffb,9894638,9691,102,227
ffc,9862624,9876,418,562
ffd,9942928,8732,121,216
ffe,9934930,9125,167,327
fff,9835587,8396,99,237
ffg,9947092,7933,158,237
fga,9505182,8530,365,794
fgb,9653292,8170,25,82
fgc,9779689,8024,169,277
fgd,9935993,9750,219,409
fge,9859937,8920,85,153
fgf,9591796,8600,136,236
fgg,9858499,11045,71,126
gaa,9877459,8974,55,112
gab,9895018,7686,5,10
gac,9939903,9238,75,191
gad,9985320,8141,178,371
gae,9966947,10299,21,53
gaf,9976155,8315,94,200
gag,9957131,8911,15,43
gba,9936912,8365,190,322
gbb,9729572,8369,71,266
gbc,9865431,8235,51,95
gbd,9925021,8123,156,272
gbe,9993873,10251,16,59
gbf,9928825,9870,228,435
gbg,9591571,8563,284,508
gca,9807734,7188,11,39
gcb,9663790,8792,14,24
gcc,9934319,9979,121,276
gcd,9999133,8694,231,374
gce,9936816,8072,85,230
gcf,9835155,9043,73,138
gcg,9718374,7648,300,461
gda,9892986,9333,30,62
gdb,9983284,8336,432,736
gdc,9831194,8784,120,251
gdd,9987011,8999,356,692
gde,9930488,8285,71,147
gdf,9860115,9350,14,34
gdg,9948179,7805,120,193
gea,9886464,8326,224,341
geb,9898921,9725,359,833
gec,9998585,9301,579,986
ged,9850961,9883,82,137
gee,9469907,9275,623,999
gef,9629332,10288,204,261
geg,9843803,8949,172,262
gfa,9994848,7924,205,306
gfb,9726027,8776,180,293
gfc,9977946,9291,130,317
gfd,9840794,7761,118,318
gfe,9637384,6466,301,358
gff,9991223,7877,131,257
gfg,9888747,10262,796,1159
gga,9913257,7783,17,38
ggb,9895685,7985,95,150
ggc,9905111,8760,114,155
ggd,9523714,9408,163,291
gge,9567631,8840,240,385
ggf,9695234,9935,45,82
ggg,9224732,9043,174,407
